titles,author_journal,abstracts,n_citations,author,journal,page,year
"Place, jobs, peers and the teenage years: exposure effects and intergenerational mobility","N Deutscher - Tax and Transfer Policy Institute-Working Paper, 2018 - papers.ssrn.com","I show that where a child grows up has a causal effect on their adult income, but that place
matters most in the teenage years. I use variation in the age at which Australian children …",5,N Deutscher,Tax and Transfer Policy Institute-Working Paper,papers.ssrn.com,2018
Skill complementarity and the geography of intergenerational mobility,"B Abbott, G Gallipoli - Unpublished manuscript, 2014 - uvic.ca","… differences in intergenerational mobility across regions.An … geographic variation in
intergenerational mobility rates may … directly affect the intergenerational persistence of earnings. …",6,"B Abbott, G Gallipoli",Unpublished manuscript,uvic.ca,2014
8 Favouring wealth intergenerational mobility by increasing the inheritance tax,"L Arrondel, A Masson - Inherited Wealth, Justice and Equality, 2012 - taylorfrancis.com","There is a paradox about wealth transfer taxation. Although the economic arguments in favour
of taxing at least post-mortem bequests appear quite convincing, the majority of the social …",13,"L Arrondel, A Masson","Inherited Wealth, Justice and Equality",taylorfrancis.com,2012
Comparison of intergenerational occupational mobility patterns: an application of the formal theory of social mobility,"J Matras - Population Studies, 1960 - Taylor & Francis","… Thus, comparison of observed mobility patterns in terms of … present matrices of
intergenerational occupation group shifts … only upon the intergenerational mobility conditions …",50,J Matras,Population Studies,Taylor & Francis,1960
"Human Capital, Heterogeneity, and Estimated Degrees of Intergenerational Mobility","CB Mulligan, S Han - … Degrees of Intergenerational Mobility (April …, 2000 - papers.ssrn.com","… For each group, we consider estimating the degrees of intergenerational mobility by
running OLS regressions of log child's consumption (earnings) on log parents' consumption (…",6,"CB Mulligan, S Han",… Degrees of Intergenerational Mobility (April …,papers.ssrn.com,2000
Intergenerational earnings mobility in Norway: Levels and trends,"E Bratberg, Ø Anti Nilsen… - Scandinavian Journal of …, 2005 - Wiley Online Library","… the intergenerational mobility for … mobility parameters are stable over time. Given the relatively
stable income distribution over time, we do not expect significant intergenerational mobility …",120,"E Bratberg, Ø Anti Nilsen…",Scandinavian Journal of …,Wiley Online Library,2005
Intergenerational transmission of disadvantage: mobility or immobility across generations?,AC d'Addio - 2007 - oecd-ilibrary.org,"… breaking the cycle of intergenerational disadvantages because of its … Low intergenerational
mobility has important policy … to quantify the extent of intergenerational mobility with a single …",516,AC d'Addio,,oecd-ilibrary.org,2007
"Height, occupation, and intergenerational mobility: an instrumental variable analysis of Dutch men, birth years 1850-1900","K Thompson, F Portrait - The History of the Family, 2022 - Taylor & Francis","… occupational status and intergenerational mobility in a sample … ), and to intergenerational
mobility (characterized as the … , and a 1.127 increase in intergenerational mobility score (95% CI…",1,"K Thompson, F Portrait",The History of the Family,Taylor & Francis,2022
Effect of Remittance on Intergenerational Mobility in Case of Occupation,"IK Bharti, T Tripathi - The Indian Journal of Labour Economics, 2020 - Springer","… analysis are more relevant in the case of intergenerational mobility (IGM) of occupation. The
… mobility (SUM, by enjoying existing structural opportunities) and exchange upward mobility (…",NA,"IK Bharti, T Tripathi",The Indian Journal of Labour Economics,Springer,2020
Intergenerational mobility in five African countries,"T Bossuroy, D Cogneau, V Hiller - 2007 - Citeseer","… in intergenerational mobility to and from the agricultural sector, what we call intergenerational
… Intergenerational dualism comes out as much lower in the two former British colonies, …",4,"T Bossuroy, D Cogneau, V Hiller",,Citeseer,2007
Intergenerational mobility and top income persistence for a developing country: Estimates using administrative data from uruguay,"M Leites, R Xavier, R Cecilia, V Joan - 2021 - ecineq.org","… We provide novel estimates of intergenerational mobility for Uruguay that for the first time
in a developing country, are based on matched administrative tax and social security records. …",1,"M Leites, R Xavier, R Cecilia, V Joan",,ecineq.org,2021
Understanding the mechanical relationship between inequality and intergenerational mobility,"Y Berman - Available at SSRN 2796563, 2017 - papers.ssrn.com","… of intergenerational mobility, we find a similar result—once again, the lack of mobility …
of a deep relationship between intergenerational mobility and income inequality. However, …",4,Y Berman,Available at SSRN ,papers.ssrn.com,2796563
The European Union: Entrenched disadvantage? Intergenerational mobility of Young natives with a migration background,"A Heath, W Zwysen - 2018 - oecd-ilibrary.org","This chapter asks whether and why disadvantage might become entrenched for some groups
of natives with a migration background. Using the ad hoc module of the 2014 European …",4,"A Heath, W Zwysen",,oecd-ilibrary.org,2018
Reassessing intergenerational mobility in Germany: some new estimation methods and a comparison of natives and immigrants,"T Vogel - Department of Economics-Humboldt-Universität zu …, 2006 - euro-ciss.eu","… , economists are mainly interested in the intergenerational mobility of economic …
intergenerational mobility in lifetime utility in a society by studying the society’s intergenerational …",7,T Vogel,Department of Economics-Humboldt-Universität zu …,euro-ciss.eu,2006
Intergenerational mobility and self-selection of asylum seekers in Germany,"M Kolb, G Neidhöfer, F Pfeiffer - ZEW-Centre for European …, 2019 - papers.ssrn.com","… In this section we compare the intergenerational mobility … level of intergenerational mobility
in their country or region of origin. For this purpose, we estimate the intergenerational mobility …",2,"M Kolb, G Neidhöfer, F Pfeiffer",ZEW-Centre for European …,papers.ssrn.com,2019
Essays on inequality and intergenerational mobility in China,Y Fan - 2015 - etheses.lse.ac.uk,"… Our results show that intergenerational mobility in both … We explain the changes in China’s
intergenerational mobility with … -sectional inequality to intergenerational mobility, we draw a …",3,Y Fan,,etheses.lse.ac.uk,2015
"Social Impacts: Health, Housing, Intergenerational Mobility","A McKnight, F Cowell - Analytical and Comparative Perspectives …, 2014 - books.google.com","… -sectional earnings inequality increased, earnings mobility fell (McKnight, 2000…
intergenerational mobility on which we focus here. At the heart of the concept of intergenerational …",5,"A McKnight, F Cowell",Analytical and Comparative Perspectives …,books.google.com,2014
"Wage Inequality, Intergenerational Mobility, and Education in Singapore",KW Ho - 2007 - ink.library.smu.edu.sg,"… intergenerational mobility in education. However, we need to ask if these trends will
continue in the future and whether underlying socioeconomic and demographic changes may …",5,KW Ho,,ink.library.smu.edu.sg,2007
The EITC and Intergenerational Mobility,"MR Jones, R Akee, E Simeonova - … and Intra/Inter-Generational Mobility of …, 2020 - nber.org","… , large-scale study of intergenerational mobility, we are in a … The long-term and
intergenerational effects are not well … determinants of intergenerational economic and social …",1,"MR Jones, R Akee, E Simeonova",… and Intra/Inter-Generational Mobility of …,nber.org,2020
Income taxation with intergenerational mobility: Can higher inequality lead to less progression?,"T Blumkin, E Sadka - European Economic Review, 2005 - Elsevier","… We introduce the notion of social mobility into an optimal income tax model. This is done
by allowing earning abilities to be partly innate and partly acquired through investments in …",6,"T Blumkin, E Sadka",European Economic Review,Elsevier,2005
A Nonparametric Nonclassical Measurement Error Approach to Estimating Intergenerational Mobility Elasticities,"Y An, L Wang, R Xiao - Journal of Business & Economic Statistics, 2022 - Taylor & Francis","… for estimating intergenerational mobility elasticities (IGEs) of … assumption that the
intergenerational mobility function is … Specifically, there is a considerable degree of mobility …",2,"Y An, L Wang, R Xiao",Journal of Business & Economic Statistics,Taylor & Francis,2022
FACTORS THAT DETERMINE THE PATH OF INTERGENERATIONAL MOBILITY OF POVERTY IN PAKISTAN,"M Ashraf, T Naveed, A Saba, M Asif… - … of Accounting and …, 2021 - search.proquest.com","… the causes to break the Intergenerational Mobility of poverty in … that there are no
Intergenerational Mobility of Poverty due to … There is Intergenerational Mobility of Poverty due to …",NA,"M Ashraf, T Naveed, A Saba, M Asif…",… of Accounting and …,search.proquest.com,2021
The Canadian geography of intergenerational income mobility,"M Corak - The Economic Journal, 2020 - academic.oup.com","… I derive nine statistics of intergenerational mobility in order to measure three different
dimensions of equality of opportunity: a concern about income, a concern about rank and a …",50,M Corak,The Economic Journal,academic.oup.com,2020
Intergenerational mobility in educational attainments: a comparative analysis at provincial level of Pakistan,"M Muhammad, NS Shirazi… - International Journal of …, 2022 - inderscienceonline.com","… We use education level as a proxy of socio-economic status and investigate its mobility …
persistence in educational status along with upward mobility. Sons of less-educated fathers are …",NA,"M Muhammad, NS Shirazi…",International Journal of …,inderscienceonline.com,2022
Intergenerational mobility in women's employment outcomes in Egypt,"M Sieverding - Economic Research Forum Working Paper, 2015 - erf.org.eg","… The analysis also suggests that intergenerational mobility in self-employment is different
from that in public wage employment. There does not appear to be intergenerational continuity …",4,M Sieverding,Economic Research Forum Working Paper,erf.org.eg,2015
Patterns of Intergenerational Mobility: The Long-Term Trends,"BW Mach - Social Structure: Changes and Linkages. Warszawa …, 2002 - polpan.org","… compare absolute and relative rates of intergenerational mobility for two selected years: …
changes in intergenerational social mobility patterns? If so, have changes in mobility patterns …",4,BW Mach,Social Structure: Changes and Linkages. Warszawa …,polpan.org,2002
Measuring intergenerational mobility and equality of opportunity,"M Martinez, E Schokkaert - CES-Discussion paper series DPS …, 1998 - lirias.kuleuven.be","… in intergenerational mobility: our immediate intuitions suggest that more intergenerational
mobility … There may be other reasons to be interested in mobility (see, eg, Atkinson, 1981). …",5,"M Martinez, E Schokkaert",CES-Discussion paper series DPS …,lirias.kuleuven.be,1998
Education and intergenerational social mobility in Europe and the United States,"R Breen, W Müller - 2020 - madoc.bib.uni-mannheim.de","… and patterns of intergenerational social mobility among men … in absolute and relative mobility
and in education across … enjoyed increasing rates of upward mobility and a decline in the …",80,"R Breen, W Müller",,madoc.bib.uni-mannheim.de,2020
Intergenerational Mobility: An Assessment for Latin American Countries,"HB Yavuz, F Pastore, ÖT Doruk - 2019 - econstor.eu","… In the next section of this study, we will examine intergenerational mobility in terms of …
another study on England, the intergenerational mobility parameter was found to be between …",2,"HB Yavuz, F Pastore, ÖT Doruk",,econstor.eu,2019
Intergenerational income mobility in the United States,"G Solon - The American Economic Review, 1992 - JSTOR","… intergenerational data from the Panel Study of Income Dynamics imply that the intergenerational
correlation in long-run income is at least 0.4, indicating dramatically less mobility than …",2478,G Solon,The American Economic Review,JSTOR,1992
Intergenerational mobility in the Ottoman Empire: Observations from eighteenth-century Kastamonu,"BA Ergene, A Kaygun - The History of the Family, 2011 - Elsevier","… , this study examines intergenerational mobility patterns in one … impediments to
intergenerational mobility across privileged and … Despite a general lack of intergenerational fluidity …",6,"BA Ergene, A Kaygun",The History of the Family,Elsevier,2011
"Introduction: Career mobility, education, and intergenerational reproduction in five European societies","C Barone, A Schizzerotto - European Societies, 2011 - Taylor & Francis","… Although the main analytical focus of these studies is intergenerational mobility, some
have considered intragenerational mobility as well, as is most evident in status attainment …",74,"C Barone, A Schizzerotto",European Societies,Taylor & Francis,2011
Economic interpretations of intergenerational correlations,"ND Grawe, CB Mulligan - Journal of Economic Perspectives, 2002 - aeaweb.org","… Measuring intergenerational correlations is as old as … and economic regulation affect
intergenerational mobility and the … our understanding of intergenerational mobility. Goldberger (…",186,"ND Grawe, CB Mulligan",Journal of Economic Perspectives,aeaweb.org,2002
Economic Transition and Intergenerational Mobility in Poland,"M Piotrowska, M Kośny - Economics & Sociology, 2017 - wir.ue.wroc.pl","… The main aim of the article is to examine intergenerational mobility … mobility measure based
on transition matrixes, we try to answer two questions concerning intergenerational mobility …",3,"M Piotrowska, M Kośny",Economics & Sociology,wir.ue.wroc.pl,2017
The political economy of intergenerational income mobility in Singapore,"IYH Ng - International Journal of Social Welfare, 2013 - Wiley Online Library","… This section discusses trends in four factors that might have important bearings on
intergenerational mobility in Singapore: economic growth and income inequality, social welfare …",30,IYH Ng,International Journal of Social Welfare,Wiley Online Library,2013
Intergenerational Mobility in Latin America,"JR Behrman, A Gaviria, M Székely - 2011 - ideas.repec.org","… intergenerational … intergenerational mobility is much higher in the United States than in
Latin America, that there are sizable differences in mobility within Latin America, and that mobility …",2,"JR Behrman, A Gaviria, M Székely",,ideas.repec.org,2011
Geography of mobility and parenting behavior in low income families,"W Schneider, J Brooks-Gunn - Child Abuse & Neglect, 2022 - Elsevier","… intergenerational mobility county and maternal parenting behaviors. If children living in higher
intergenerational mobility … intergenerational mobility may produce even greater reductions. …",2,"W Schneider, J Brooks-Gunn",Child Abuse & Neglect,Elsevier,2022
Whose intergenerational mobility?,"D Sakri, A Sumner, AA Yusuf - 2022 - wider.unu.edu","… of intergenerational mobility in OECD countries. Fewer estimates are available for developing
countries, where mobility … This paper presents new estimates of mobility for a developing …",NA,"D Sakri, A Sumner, AA Yusuf",,wider.unu.edu,2022
Education and intergenerational mobility: Evidence from a natural experiment in Puerto Rico,"JC Bluedorn, EU Cascio - Nuffield College Economics Paper, 2005 - nuff.ox.ac.uk","The existence of intergenerational spillovers to public investments in schooling is often
assumed in policy discussions regarding economic development. However, few studies to date …",5,"JC Bluedorn, EU Cascio",Nuffield College Economics Paper,nuff.ox.ac.uk,2005
Intergenerational mobility: Earnings and education in Israel,M Beenstock - 2002 - primage.tau.ac.il,"… intergenerational mobility is random, dynastic Gini should be 71% of mean Gini. In the
sample, dynastic Gini is 74.2% of mean Gini, implying a high degree of intergenerational mobility …",5,M Beenstock,,primage.tau.ac.il,2002
"Intergenerational mobility, school inequality and social segregation","A Arenas, J Hindriks - 2017 - researchgate.net","… intergenerational mobility. We augment the Becker-Tomes-Solon model of intergenerational
mobility… We show that segregation and school inequality reduce intergenerational mobility if …",3,"A Arenas, J Hindriks",,researchgate.net,2017
Assessing changes in intergenerational earnings mobility,"E Bratberg, ØA Nilsen, K Vaage - Available at SSRN 418646, 2003 - papers.ssrn.com","… Chadwick (2002), investigating the period 1976 to 1996, finds that intergenerational mobility
… families, we estimate separately the intergenerational mobility for each cohort. Hence, the …",18,"E Bratberg, ØA Nilsen, K Vaage",Available at SSRN ,papers.ssrn.com,418646
Intergenerational earnings mobility in Brazil and its determinants,"C Dunn - Department of Economics, University of Michigan …, 2003 - Citeseer","… data, describes intergenerational mobility estimation strategies… my estimates of
intergenerational earnings mobility in Brazil. … Estimates of intergenerational mobility in Brazil in this …",28,C Dunn,"Department of Economics, University of Michigan …",Citeseer,2003
Intergenerational persistence in income and social class: the impact of increased inequality,"J Blanden, P Gregg, L Macmillan - 2008 - ideas.repec.org","… conclusions about how intergenerational mobility in the UK … When economists measure
intergenerational mobility their … for changes in intergenerational mobility based on income …",14,"J Blanden, P Gregg, L Macmillan",,ideas.repec.org,2008
Intergenerational Mobility in Cities,"K Janicka - Class Structure & Social Mobility in Poland, 2017 - taylorfrancis.com","… Intergenerational mobility is usually analyzed in terms of socio-occupational differentiation.
… The basis for determining the magnitude and direction of intergenerational mobility is mobility …",3,K Janicka,Class Structure & Social Mobility in Poland,taylorfrancis.com,2017
'I'm like you not': Intergenerational mobility of working class students from a cultural-evolutionary perspective,"T Lovett - Issues in Educational Research, 2016 - search.informit.org","&apos;I&apos;m like you not&apos;: Intergenerational mobility … Intergenerational mobility of
working class students from a … , particularly in relation to social mobility. Analysis of the data …",5,T Lovett,Issues in Educational Research,search.informit.org,2016
Intergenerational mobility and self-selection on unobserved skills: New evidence,"M Hebsaker, G Neidhöfer… - Journal for …, 2021 - labourmarketresearch.springeropen …","… the intergenerational mobility estimates for our sample of asylum seekers with the overall
level of intergenerational mobility … For this purpose, we estimate the intergenerational mobility …",NA,"M Hebsaker, G Neidhöfer…",Journal for …,labourmarketresearch.springeropen …,2021
Intergenerational mobility in educational attainment in Mexico,"CM Woodruff, M Binder - Available at SSRN 166388, 1999 - papers.ssrn.com","… intergenerational mobility in Mexico during the past four decades. By several measures, we
find that intergenerational educational mobility … is slightly less intergenerational mobility in …",4,"CM Woodruff, M Binder",Available at SSRN ,papers.ssrn.com,166388
Intergenerational income mobility,"G Solon - Social Stratification, 2018 - api.taylorfrancis.com","… Nevertheless, the model is rich enough to illustrate some key aspects of the
intergenerational transmission process. These are embodied in the following result …",23,G Solon,Social Stratification,api.taylorfrancis.com,2018
Intergenerational earnings mobility and preferences for redistribution,"T Siedler, B Sonnenberg - 2012 - papers.ssrn.com","… on the extent of intergenerational mobility within and across … of upward and downward
intergenerational mobility for individuals’ … differences in intergenerational mobility are correlated to …",13,"T Siedler, B Sonnenberg",,papers.ssrn.com,2012
One child policy and intergenerational mobility,X Zou - 2015 - repository.ust.hk,"… Child Policy has affected intergenerational mobility in China. … families, hence increases
intergenerational mobility. We also … show that lower fertility increases intergenerational mobility. …",3,X Zou,,repository.ust.hk,2015
Intergenerational earnings mobility in Taiwan,"F Sun, A Ueda - Economics Bulletin, 2015 - accessecon.com","… This study aims to estimate the extent of intergenerational mobility of earnings in Taiwan.
The intergenerational elasticity of a child's earnings with respect to its parent's earnings is …",15,"F Sun, A Ueda",Economics Bulletin,accessecon.com,2015
Trends in intergenerational income mobility,G Solon - 2006 - policycommons.net,"… time-series variation in intergenerational mobility. Our results, which pertain to the cohorts
born between 1952 and 1975, do not reveal major changes in intergenerational mobility. …",8,G Solon,,policycommons.net,2006
Mobility report cards: The role of colleges in intergenerational mobility,"N Turner, US Treasury - 2017 - poverty.ucdavis.edu","… Using these mobility report cards, we document a set of … intergenerational mobility and
highlight a set of colleges that warrant further study as potential engines of upward mobility. …",3,"N Turner, US Treasury",,poverty.ucdavis.edu,2017
Intergenerational mobility in a recession: Evidence from Sweden,"M Nybom, J Stuhler - 2021 - econstor.eu","… For estimating the impact of the 1990s and financial crises on intergenerational mobility (Section
6), we consider mean earnings over the respective pre- and post-period for different …",NA,"M Nybom, J Stuhler",,econstor.eu,2021
Intergenerational Mobility in Hong Kong,LY Kwok - 2012 - scholars.hkbu.edu.hk,"… This chapter seeks to address the issue of intergenerational earnings mobility in Hong Kong
… and that intergenerational mobility in earnings has increased between 1991 and 2006. …",2,LY Kwok,,scholars.hkbu.edu.hk,2012
"Differential fertility, intergenerational educational mobility, and racial inequality","RD Mare - Social Science Research, 1997 - Elsevier","… are more closed to intergenerational mobility and a weaker effect when mobility is greater. …
fertility and the rate of intergenerational mobility? If mobility chances were to change, would …",119,RD Mare,Social Science Research,Elsevier,1997
From mother to daughter: changes in intergenerational educational and occupational mobility in Germany,"A Minello, HP Blossfeld - International studies in sociology of …, 2014 - Taylor & Francis","… We intend to understand how the role of education in determining intergenerational
mobility has changed across cohorts in the mother–daughter relation. We expect that highly …",17,"A Minello, HP Blossfeld",International studies in sociology of …,Taylor & Francis,2014
Race and Intergenerational Mobility in the United States,"B Mazumder - Intergenerational Mobility: How Gender, Race, and …, 2022 - books.google.com","… intergenerational mobility, and how policy can potentially address these causes. I begin by
discussing how the literature has studied racial gaps in intergenerational mobility… in mobility. I …",NA,B Mazumder,"Intergenerational Mobility: How Gender, Race, and …",books.google.com,2022
Comparable estimates of intergenerational income mobility in Italy,"P Piraino - The BE Journal of Economic Analysis & Policy, 2007 - degruyter.com","This paper examines the degree and patterns of intergenerational economic mobility in Italy.
It uses data from the Bank of Italy's repeated cross-section household survey. Retrospective …",179,P Piraino,The BE Journal of Economic Analysis & Policy,degruyter.com,2007
Education and the intergenerational transmission of advantage in the US,"F Torche - Education, occupation and social origin, 2016 - elgaronline.com","… intergenerational mobility in the US and the role that educational attainment plays in the
mobility … It addresses the following questions: First, what is the total level of intergenerational …",33,F Torche,"Education, occupation and social origin",elgaronline.com,2016
Entrepreneurship and the Economic Geography of Intergenerational Mobility in US Cities,"H Qian - Development Studies in Regional Science, 2020 - Springer","… in intergenerational mobility. In particular, we are interested in whether entrepreneurship is
associated with economic mobility … intergenerational mobility, which is the focus of this study. …",1,H Qian,Development Studies in Regional Science,Springer,2020
Inequality and mobility,"J Hassler, JV Rodríguez Mora, J Zeira - Journal of Economic Growth, 2007 - Springer","… Abstract Acknowledging that wage inequality and intergenerational mobility are strongly
interrelated, this paper presents a model in which both are jointly determined. The model …",141,"J Hassler, JV Rodríguez Mora, J Zeira",Journal of Economic Growth,Springer,2007
Sudden Stops in Social Mobility: Intergenerational Mobility in Chile,C Sapelli - 2011 - ideas.repec.org,"… We estimate the evolution of intergenerational mobility of education in Chile for synthetic
cohorts born between 1930 and 1978. The correlation coefficient between children and parent …",4,C Sapelli,,ideas.repec.org,2011
"Redistributive taxation, inequality, and intergenerational mobility",A Schneider - 2007 - econstor.eu,"… mobility and at the same time reduce inequality. While a higher degree of social mobility
benefits intergenerational … (SS) with focus on intra- and intergenerational inequality. This body of …",5,A Schneider,,econstor.eu,2007
Are estimates of intergenerational mobility biased by non-response? Evidence from the Netherlands,"BHH Golsteyn, S Hirsch - Social Choice and Welfare, 2019 - Springer","… non-response at the household level attenuates the intergenerational relationship. Secondly,
we find … This study contributes to the literature on intergenerational mobility, specifically the …",3,"BHH Golsteyn, S Hirsch",Social Choice and Welfare,Springer,2019
Intergenerational mobility in income and economic status in Ethiopia,"GA Haile - Available at SSRN 2810458, 2016 - papers.ssrn.com","… the extent of intergenerational mobility in … mobility across generations. Sons are found to
be more mobile than daughters both in monetary and non-monetary terms, although the mobility …",3,GA Haile,Available at SSRN ,papers.ssrn.com,2810458
Does Intergenerational Mobility Increase Corporate Profits?,"JF Albertus, M Smolyansky - Available at SSRN 3420225, 2019 - papers.ssrn.com","… in areas with higher intergenerational mobility are more … )—who provide measures of
intergenerational mobility for all … association between intergenerational mobility and corporate …",1,"JF Albertus, M Smolyansky",Available at SSRN ,papers.ssrn.com,3420225
Essays on Intergenerational Mobility in Education,EAM Saavedra - 2022 - search.proquest.com,"… intergenerational mobility in education in Chile, and Latin America and the Caribbean. Chapter
1 In this chapter, I estimate intergenerational mobility (… I measure upward mobility as the …",NA,EAM Saavedra,,search.proquest.com,2022
Intergenerational occupational mobility across three continents,"S Pérez - The Journal of Economic History, 2019 - cambridge.org","… I compare rates of intergenerational occupational mobility across four countries in the late
… Argentina and the United States had similar levels of intergenerational mobility, and these …",21,S Pérez,The Journal of Economic History,cambridge.org,2019
Education and intergenerational income mobility in urban China,"GUO Congbin, M Weifang - Frontiers of Education in China, 2008 - brill.com","This study examines the relationship between education and intergenerational income
mobility in urban China based on the data of Chinese Urban Household Education and …",40,"GUO Congbin, M Weifang",Frontiers of Education in China,brill.com,2008
Intergenerational Mobility and Childhood Obesity: Evidence from Genes,"M Fan, Y Jin, M Zhuang - Available at SSRN, 2022 - papers.ssrn.com","… Since the focus is on the impact of childhood obesity on intergenerational mobility, we
exclude underweight participants (3%) and restrict the data to children aged 11-20 years old in …",1,"M Fan, Y Jin, M Zhuang",Available at SSRN,papers.ssrn.com,2022
Essays on Migration and Intergenerational Mobility,J Stuhler - 2014 - discovery.ucl.ac.uk,"… This thesis consists of four self-contained essays, on intergenerational mobility of economic
… in three chapters of different length on intergenerational mobility (the first two are based on …",2,J Stuhler,,discovery.ucl.ac.uk,2014
Intergenerational mobility and gender gap: evidence from mediterranean countries,"R Castellano, G Punzo, A Rocca - … of 46th Scientific Meeting of the …, 2012 - sis-statistica.it","… The aim of this paper is to investigate the profiles of intergenerational mobility in education
… of family background, that differently affect upward mobility in education and gender gaps. …",4,"R Castellano, G Punzo, A Rocca",… of th Scientific Meeting of the …,sis-statistica.it,46
Intergenerational mobility and class theory: A reply to Kingston,"M Western - Social forces, 1996 - academic.oup.com","… Relative mobility patterns illustrate one fundamental way that class mechanisms operate and
class-structured relative mobility patterns coexist alongside substantial absolute mobility for …",3,M Western,Social forces,academic.oup.com,1996
"Place-based scholarship program design, context, and intergenerational mobility: A case study of the kalamazoo promise scholarship program",AF Niemeyer - 2015 - search.proquest.com,"… mobility. Leveraging a rapidly growing body of knowledge that links context (place) to upward
mobility, … where it is based, and intergenerational mobility. My investigation focused on the …",6,AF Niemeyer,,search.proquest.com,2015
A new proposal to gauge intergenerational mobility: Educational mobility in Europe as a case study,"A Di Paolo, JL Raymond, J Calero - Social indicators research, 2013 - Springer","… , we contribute to the intergenerational mobility literature by suggesting a new mobility
index that makes two advances in the measurement of intergenerational mobility. First, as we …",3,"A Di Paolo, JL Raymond, J Calero",Social indicators research,Springer,2013
"Intergenerational income mobility in a less-developed, high-inequality context: The case of Chile","JI Nunez, L Miranda - The BE Journal of Economic Analysis & Policy, 2010 - degruyter.com","This paper studies the magnitude of intergenerational income mobility in less developed,
high inequality Chile. Following a known methodology where fathers' incomes are predicted …",72,"JI Nunez, L Miranda",The BE Journal of Economic Analysis & Policy,degruyter.com,2010
France: Intergenerational mobility outcomes of natives with immigrant parents,"C Beauchemin - … ? Country Studies on Intergenerational Mobility …, 2018 - books.google.com","… This chapter provides an overview of the intergenerational mobility outcomes of immigrants’
… viewpoints on social mobility. Overall, these results show that upward mobility is not evenly …",3,C Beauchemin,… ? Country Studies on Intergenerational Mobility …,books.google.com,2018
Intergenerational mobility among black Americans: Background factors and attitudinal consequences,"JP Alston, MJ Knapp - Journal of Black Studies, 1974 - journals.sagepub.com","… of intergenerational movement, except in Table 1. After having established the intergenerational
mobility … of mobility, whether upward or downward. That is, we will investigate the …",5,"JP Alston, MJ Knapp",Journal of Black Studies,journals.sagepub.com,1974
Intergenerational income mobility in Sweden: What do tax‐data show?,"T Österberg - Review of Income and Wealth, 2000 - Wiley Online Library","… intergenerational income mobility will be investigated. Various attempts have been made to
estimate the intergenerational … is Sweden also a country with high intergenerational mobility? …",143,T Österberg,Review of Income and Wealth,Wiley Online Library,2000
Intergenerational mobility and the children of migrants in Indonesia,AM Fatimah - 2022 - bonndoc.ulb.uni-bonn.de,"… This dissertation focuses on intergenerational mobility and its … three aspects of intergenerational
mobility: expenditures, … An analysis of intergenerational expenditure mobility finds …",NA,AM Fatimah,,bonndoc.ulb.uni-bonn.de,2022
"Colonial origin, ethnicity and intergenerational mobility in Africa","P Funjika, YY Getachew - World Development, 2022 - Elsevier","… ’ ethnic belonging and intergenerational mobility, using … -economic outcomes and
intergenerational mobility in African states may … in the intergenerational educational mobility …",NA,"P Funjika, YY Getachew",World Development,Elsevier,2022
Intragenerational and intergenerational mobility in Viet Nam,"NT Lam, NV Cuong - 2017 - adb.org","… This study examines intragenerational and intergenerational mobility of employment and
income in Viet Nam during 2004–2008 and 2010–2014. It finds rather high mobility across …",3,"NT Lam, NV Cuong",,adb.org,2017
Intergenerational mobility and the transmission of inequality: an empirical study using longitudinal data,DJ Zimmerman - 1992 - search.proquest.com,"This dissertation contains three separate essays. The first essay uses data from the National
Longitudinal Survey (NLS) to measure the degree of intergenerational economic mobility in …",5,DJ Zimmerman,,search.proquest.com,1992
The origins of intergenerational associations: Lessons from Swedish adoption data,"A Björklund, M Lindahl, E Plug - The Quarterly Journal of …, 2006 - academic.oup.com","… , we focus only on the intergenerational mobility effects of father’s earnings and income. Our
analysis thus follows the empirical literature on income mobility that focuses on the impact of …",536,"A Björklund, M Lindahl, E Plug",The Quarterly Journal of …,academic.oup.com,2006
Race and economic opportunity in the United States: An intergenerational perspective,"R Chetty, N Hendren, MR Jones… - The Quarterly Journal of …, 2020 - academic.oup.com","… We find that intergenerational mobility and the persistence of … fairly similar rates of
intergenerational mobility. For example, … Section II presents a model of intergenerational mobility …",882,"R Chetty, N Hendren, MR Jones…",The Quarterly Journal of …,academic.oup.com,2020
Intergenerational social mobility,"O Causa, Å Johansson - 2009 - oecd-ilibrary.org","This paper assesses recent patterns in intergenerational social mobility across OECD
countries and examines the role that public policies can play in affecting such mobility. It shows …",171,"O Causa, Å Johansson",,oecd-ilibrary.org,2009
The effect of fertility limitation on intergenerational social mobility: the quality–quantity trade-off during the demographic transition,"J Van Bavel - Journal of Biosocial Science, 2006 - cambridge.org","… The aim of this contribution is to develop a test of the effect of family size limitation on children’s
intergenerational mobility. This test is applied to an urban population in Belgium that was …",84,J Van Bavel,Journal of Biosocial Science,cambridge.org,2006
Plastic and immobile: Unequal intergenerational mobility by genetic sensitivity score within sibling pairs,"E Rauscher - Social Science Research, 2017 - Elsevier","… related to intergenerational mobility: Why … mobility? At the individual level, relatively little
research has documented factors that increase or decrease the likelihood of economic mobility …",4,E Rauscher,Social Science Research,Elsevier,2017
The Effects of Redistribution on Occupational Choice and Intergenerational Mobility: Does Wage Equality Nail the Cobbler to His Last?,A Sjögren - 1998 - swopec.hhs.se,"… that redistribution has implications for intergenerational mobility and talent allocation trough
… of a trade-off between redistribution and intergenerational mobility depends on the extent of …",6,A Sjögren,,swopec.hhs.se,1998
